"file","column","type","range","observed","nulls","defined_in","description"
"tweets","mentioned_handles","string (JSON array of handles)","[] when none","136,175 empty","0","2B §3.3.4","Handles mentioned in the post, as collected. Self-Contradiction forms candidate pairs within mention-handle groups and weights pairs by mention-group membership."
"tweets","topic","string or null","one sentence","","5,214","2B Table 3; 2B §3.3.3","Tweet topic label: a MODEL-GENERATED one-sentence label derived from the post by a language model. It is not the post text. Temporal Consistency groups posts by it."
"tweets","stance_json","string (JSON array of {entity, stance, confidence})","stance support/against/neutral; confidence [0, 1]","36,583 empty","0","2B Table 3; 2B §3.3.3","Per-entity stance records. A small number of stored labels fall outside support/against/neutral; Temporal Consistency maps them to neutral."
"tweets","entities_json","string (JSON array of {name, type, sub_type, party})","entity records","38,115 empty","0","2B Table 3; 2B §3.3.4","Extracted named entities. Self-Contradiction weights a pair fully when its posts share an alias-resolved entity. Stored type labels are as extracted, including some outside the intended type list."
"tweets","toxicity","real","[0, 1]","0.0 to 1.0","0","2B Table 3; 2B §3.3.5","Tweet-level toxicity. Profile Credibility consumes the account mean through two paths (content complement and crowd multiplier)."
"comments","comment_id","string (digits)","platform or synthetic comment id","","0","2A §5.1","Comment identifier. Primary key."
"comments","parent_tweet_id","string (digits)","platform post id","","0","2A §5.1","The post the comment belongs to; joins tweets.tweet_id (every exported comment has its parent in tweets)."
"comments","author_id","string","platform user id, or a synthetic id","","0","2A §5.1","Identifier of the comment's author."
"comments","author_handle","string","X handle without @; syn_user_N for synthetic","","0","2A §5.1","Handle of the comment's author. Synthetic comments carry syn_user_N. 67 real comments carry an empty handle as collected."
"comments","is_synthetic","integer","0 or 1","0 to 1","0","2A Ethics statement; 2A §5.5","1 for the 741,582 comments generated with a large language model; 0 for real collected comments."
"comments","created_at","string (ISO 8601, UTC offset) or null","timestamp","","741,582","2A §5.1","Comment creation time as collected. NULL on every synthetic comment, and only there: synthetic comments carry no timestamp."
"comments","comment_sentiment_score","string (JSON array of 6 reals)","each in [0, 1]","length 6","0","2A §3.3.1.1","Comment Sentiment: positive, negative, neutral, mixed, ambiguity (stored as objective), sarcasm."
"comments","comment_emotion_score","string (JSON array of 14 reals)","each in [0, 1]","length 14","0","2A §3.3.1.2","Comment Emotion, same fourteen dimensions as tweet_emotion_score. Not normalized."
"comments","comment_affirmation_score","real","[-1, 1]","-0.8812177393084712 to 0.8550802473552193","0","2A §3.3.1.4","Comment Affirmation."
"comments","comment_direction_type","string","author, peer, external","values author, external, peer","0","2A §3.3.1.3","Comment Direction class."
"comments","image_sentiment","string (JSON array of 5 reals) or null","each in [0, 1]","length 5","876,128","2A §3.3.1.1","Image classification scores (sarcastic_meme, mockery, hostile, supportive, informational) behind the 729 comment sentiment vectors that carry an image-derived adjustment, the exception 2A §3.3.1.1 states. All 729 are synthetic comments. NULL elsewhere."
"profiles","user_id","string (digits)","platform user id","","0","2A §5.1","X user identifier. Primary key; joins tweets.author_id."
"profiles","handle","string","X handle without @","","0","2A §5.1","Handle of the profile."
"profiles","is_bot","real","[0, 1]","0.0015392826002223654 to 0.2773127775450356","0","2A §3.3.3.1","Bot Likelihood."
"profiles","engagement_patterns_score","real","declared [0, 1]; deployed [0.0119, 0.9363]","0.125 to 0.8951859542009739","0","2B §3.3.1; 2B §5.5","Engagement Patterns."
"profiles","influence_score","real","declared [0, 0.79]; deployed [0.0373713, 0.687253]","0.0781065700982928 to 0.3944510985104028","0","2B §3.3.2; 2B §5.5","Profile Influence."
"profiles","consistency_score","real","[0, 1]","0.8738977072310405 to 1.0","0","2B §3.3.3","Temporal Consistency."
"profiles","contradiction_score","real","[0, 1]","0.0 to 0.09394301418904905","0","2B §3.3.4","Self-Contradiction."
"profiles","credibility_score","real","[0, 1]","0.4201974117905082 to 0.6652351354942609","0","2B §3.3.5","Profile Credibility."
"reference/entity_aliases","alias_id","integer","row id","1 to 301","0","2B Table 3","Alias row identifier."
"reference/entity_aliases","surface_form","string","","","0","2B Table 3","Surface form of an entity name as it occurs in extracted entities or stance records."
"reference/entity_aliases","surface_norm","string","","","0","2B Table 3","Normalized surface form used for matching."
"reference/entity_aliases","canonical_id","string","","","0","2B Table 3; 2B §3.3.3; 2B §3.3.4","Canonical entity the surface form resolves to."
"reference/entity_aliases","canonical_name","string","","","0","2B Table 3","Display name of the canonical entity."
"reference/entity_aliases","entity_type","string","PERSON, ORGANIZATION, PARTY, LOCATION","values LOCATION, ORGANIZATION, PARTY, PERSON","0","2B Table 3","Entity type of the canonical entity."
"reference/entity_aliases","sub_type","string or null","","values city, country, government, international, journalist, judiciary, military, politician, province, region","188","2B Table 3","Optional finer type."
"reference/entity_aliases","source","string","manual_seed, llm_cluster_qwen2.5_14b","values llm_cluster_qwen2.5_14b, manual_seed","0","2B Table 3","How the mapping was proposed."
"reference/entity_aliases","confidence","real","[0, 1]","0.9 to 1.0","0","2B Table 3","Curator confidence in the mapping."
"reference/entity_aliases","review_status","string","approved, unreviewed, rejected","values approved","0","2B §3.3.3","Only rows with review_status = approved are applied by Temporal Consistency and contradiction weighting. Every one of the 297 published rows is approved."
"reference/entity_aliases","notes","string","","","0","2B Table 3","Curator note (for example a mention rank)."
"reference/entity_aliases","created_at","string (ISO 8601)","timestamp","","0","2B Table 3","When the mapping row was created."
"reference/bertopic_topic_assignments","tweet_id","string (digits)","platform post id","","0","2B Table 3","Post identifier; joins tweets.tweet_id. Two posts of the tweet table have no assignment."
"reference/bertopic_topic_assignments","topic_id","integer","-1 (outlier) or 0..230","-1 to 230","0","2B Table 3; 2B §3.3.2; 2B §3.3.4","BERTopic group of the post. Profile Influence aggregates per group, and Self-Contradiction forms candidate pairs within groups."
"reference/bertopic_topic_assignments","probability","real","stored 0.0 on every row","0.0 to 0.0","0","2B Table 3","Assignment probability column as stored. It is 0.0 on all rows: no probability was recorded, and no field uses it."
"reference/bertopic_topic_assignments","assigned_at","string (ISO 8601)","timestamp","values 2026-05-04T10:24:25.877157+00:00","0","2B Table 3","Time the assignments were written (one run)."
